date,food_item,category,customers_count,quantity_prepared,quantity_sold,quantity_wasted,selling_price,discount,temperature,rainfall,is_weekend,is_holiday,is_exam_day,ingredient_cost,revenue,day_of_week,month,lag_1_sales,rolling_7_sales_avg
2025-01-24,Chicken Biryani,Main Course,375,136,114,22,220,0.0,34.9,0.9,0,0,0,95,25080.0,4,1,124.0,149.42857142857142
2025-01-25,Chicken Biryani,Main Course,488,223,187,36,220,0.0,35.9,0.0,1,1,0,95,41140.0,5,1,114.0,146.71428571428572
2025-01-26,Chicken Biryani,Main Course,442,201,169,32,220,0.0,30.2,0.0,1,0,0,95,37180.0,6,1,187.0,146.57142857142858
2025-01-27,Chicken Biryani,Main Course,374,161,149,12,220,5.0,28.8,0.0,0,0,0,95,31141.0,0,1,169.0,137.42857142857142
2025-01-28,Chicken Biryani,Main Course,307,124,104,20,220,0.0,36.7,0.0,0,0,0,95,22880.0,1,1,149.0,140.0
2025-01-29,Chicken Biryani,Main Course,338,124,115,9,220,0.0,27.8,0.3,0,0,0,95,25300.0,2,1,104.0,138.14285714285714
2025-01-30,Chicken Biryani,Main Course,409,153,137,16,220,0.0,33.8,0.0,0,0,0,95,30140.0,3,1,115.0,137.42857142857142
2025-01-31,Chicken Biryani,Main Course,322,132,118,14,220,0.0,26.8,3.3,0,0,0,95,25960.0,4,1,137.0,139.28571428571428
2025-02-01,Chicken Biryani,Main Course,438,188,175,13,220,0.0,34.7,0.2,1,0,0,95,38500.0,5,2,118.0,139.85714285714286
2025-02-02,Chicken Biryani,Main Course,463,207,184,23,220,0.0,21.7,0.0,1,0,0,95,40480.0,6,2,175.0,138.14285714285714
2025-02-03,Chicken Biryani,Main Course,334,150,129,21,220,5.0,28.1,0.0,0,0,0,95,26961.0,0,2,184.0,140.28571428571428
2025-02-04,Chicken Biryani,Main Course,356,139,119,20,220,0.0,35.8,2.4,0,0,0,95,26180.0,1,2,129.0,137.42857142857142
2025-02-05,Chicken Biryani,Main Course,370,156,137,19,220,15.0,25.8,0.0,0,0,0,95,25619.0,2,2,119.0,139.57142857142858
2025-02-06,Chicken Biryani,Main Course,360,142,133,9,220,0.0,37.5,0.0,0,0,0,95,29260.0,3,2,137.0,142.71428571428572
2025-02-07,Chicken Biryani,Main Course,356,129,113,16,220,0.0,34.2,0.0,0,0,0,95,24860.0,4,2,133.0,142.14285714285714
2025-02-08,Chicken Biryani,Main Course,463,209,199,10,220,0.0,42.7,0.0,1,0,0,95,43780.0,5,2,113.0,141.42857142857142
2025-02-09,Chicken Biryani,Main Course,444,215,188,27,220,0.0,29.3,0.0,1,0,0,95,41360.0,6,2,199.0,144.85714285714286
2025-02-10,Chicken Biryani,Main Course,353,134,115,19,220,0.0,29.4,0.1,0,0,0,95,25300.0,0,2,188.0,145.42857142857142
2025-02-11,Chicken Biryani,Main Course,373,149,138,11,220,0.0,26.1,0.3,0,0,0,95,30360.0,1,2,115.0,143.42857142857142
2025-02-12,Chicken Biryani,Main Course,326,116,98,18,220,0.0,26.7,0.0,0,0,0,95,21560.0,2,2,138.0,146.14285714285714
2025-02-13,Chicken Biryani,Main Course,374,152,137,15,220,5.0,27.3,3.0,0,0,0,95,28633.0,3,2,98.0,140.57142857142858
2025-02-14,Chicken Biryani,Main Course,325,128,119,9,220,0.0,31.0,0.0,0,0,0,95,26180.0,4,2,137.0,141.14285714285714
2025-02-15,Chicken Biryani,Main Course,504,222,201,21,220,0.0,23.6,2.0,1,1,0,95,44220.0,5,2,119.0,142.0
2025-02-16,Chicken Biryani,Main Course,433,185,175,10,220,0.0,30.0,0.0,1,0,0,95,38500.0,6,2,201.0,142.28571428571428
2025-02-17,Chicken Biryani,Main Course,317,125,106,19,220,0.0,35.7,4.5,0,0,0,95,23320.0,0,2,175.0,140.42857142857142
2025-02-18,Chicken Biryani,Main Course,426,209,178,31,220,15.0,24.6,0.0,0,1,0,95,33286.0,1,2,106.0,139.14285714285714
2025-02-19,Chicken Biryani,Main Course,333,154,131,23,220,5.0,25.5,0.0,0,0,0,95,27379.0,2,2,178.0,144.85714285714286
2025-02-20,Chicken Biryani,Main Course,386,152,138,14,220,5.0,27.8,0.0,0,0,0,95,28842.0,3,2,131.0,149.57142857142858
2025-02-21,Chicken Biryani,Main Course,379,154,142,12,220,0.0,28.9,0.0,0,0,0,95,31240.0,4,2,138.0,149.71428571428572
2025-02-22,Chicken Biryani,Main Course,412,194,164,30,220,0.0,31.0,0.0,1,0,0,95,36080.0,5,2,142.0,153.0
2025-02-23,Chicken Biryani,Main Course,362,165,141,24,220,0.0,39.0,0.0,1,0,0,95,31020.0,6,2,164.0,147.71428571428572
2025-02-24,Chicken Biryani,Main Course,353,156,133,23,220,5.0,29.2,0.0,0,0,0,95,27797.0,0,2,141.0,142.85714285714286
2025-02-25,Chicken Biryani,Main Course,380,157,148,9,220,15.0,31.1,0.0,0,0,0,95,27676.0,1,2,133.0,146.71428571428572
2025-02-26,Chicken Biryani,Main Course,359,155,135,20,220,0.0,27.2,0.0,0,0,0,95,29700.0,2,2,148.0,142.42857142857142
2025-02-27,Chicken Biryani,Main Course,344,150,135,15,220,15.0,27.2,0.0,0,0,0,95,25245.0,3,2,135.0,143.0
2025-02-28,Chicken Biryani,Main Course,361,157,147,10,220,10.0,31.7,0.0,0,0,0,95,29106.0,4,2,135.0,142.57142857142858
2025-03-01,Chicken Biryani,Main Course,434,195,186,9,220,0.0,22.8,0.0,1,0,0,95,40920.0,5,3,147.0,143.28571428571428
2025-03-02,Chicken Biryani,Main Course,471,207,195,12,220,0.0,37.5,0.0,1,0,0,95,42900.0,6,3,186.0,146.42857142857142
2025-03-03,Chicken Biryani,Main Course,287,126,108,18,220,5.0,34.6,0.0,0,0,1,95,22572.0,0,3,195.0,154.14285714285714
2025-03-04,Chicken Biryani,Main Course,255,109,101,8,220,0.0,32.6,0.0,0,0,1,95,22220.0,1,3,108.0,150.57142857142858
2025-03-05,Chicken Biryani,Main Course,355,150,130,20,220,0.0,33.2,0.0,0,0,0,95,28600.0,2,3,101.0,143.85714285714286
2025-03-06,Chicken Biryani,Main Course,299,95,84,11,220,0.0,29.9,3.1,0,0,1,95,18480.0,3,3,130.0,143.14285714285714
2025-03-07,Chicken Biryani,Main Course,343,145,127,18,220,0.0,28.6,0.0,0,0,0,95,27940.0,4,3,84.0,135.85714285714286
2025-03-08,Chicken Biryani,Main Course,449,254,232,22,220,15.0,29.6,0.0,1,0,0,95,43384.0,5,3,127.0,133.0
2025-03-09,Chicken Biryani,Main Course,456,214,182,32,220,0.0,24.8,0.0,1,0,0,95,40040.0,6,3,232.0,139.57142857142858
2025-03-10,Chicken Biryani,Main Course,310,133,114,19,220,0.0,24.6,0.0,0,0,1,95,25080.0,0,3,182.0,137.71428571428572
2025-03-11,Chicken Biryani,Main Course,238,82,74,8,220,5.0,28.7,0.0,0,0,1,95,15466.0,1,3,114.0,138.57142857142858
2025-03-12,Chicken Biryani,Main Course,231,112,97,15,220,0.0,24.2,0.0,0,0,1,95,21340.0,2,3,74.0,134.71428571428572
2025-03-13,Chicken Biryani,Main Course,302,131,114,17,220,5.0,25.2,0.0,0,0,0,95,23826.0,3,3,97.0,130.0
2025-03-14,Chicken Biryani,Main Course,351,185,157,28,220,15.0,27.1,0.0,0,0,0,95,29359.0,4,3,114.0,134.28571428571428
2025-03-15,Chicken Biryani,Main Course,505,228,197,31,220,0.0,27.2,1.5,1,0,0,95,43340.0,5,3,157.0,138.57142857142858
2025-03-16,Chicken Biryani,Main Course,490,241,221,20,220,5.0,26.0,0.0,1,0,0,95,46189.0,6,3,197.0,133.57142857142858
2025-03-17,Chicken Biryani,Main Course,380,171,149,22,220,15.0,22.2,0.0,0,0,0,95,27863.0,0,3,221.0,139.14285714285714
2025-03-18,Chicken Biryani,Main Course,365,139,116,23,220,0.0,35.5,0.0,0,0,0,95,25520.0,1,3,149.0,144.14285714285714
2025-03-19,Chicken Biryani,Main Course,224,89,80,9,220,0.0,34.8,0.0,0,0,1,95,17600.0,2,3,116.0,150.14285714285714
2025-03-20,Chicken Biryani,Main Course,331,132,113,19,220,0.0,29.1,1.8,0,0,0,95,24860.0,3,3,80.0,147.71428571428572
2025-03-21,Chicken Biryani,Main Course,332,125,114,11,220,0.0,25.0,0.0,0,1,1,95,25080.0,4,3,113.0,147.57142857142858
2025-03-22,Chicken Biryani,Main Course,442,214,183,31,220,0.0,26.9,0.0,1,0,0,95,40260.0,5,3,114.0,141.42857142857142
2025-03-23,Chicken Biryani,Main Course,449,192,183,9,220,0.0,21.0,0.0,1,0,0,95,40260.0,6,3,183.0,139.42857142857142
2025-03-24,Chicken Biryani,Main Course,268,88,80,8,220,5.0,24.0,0.0,0,0,1,95,16720.0,0,3,183.0,134.0
2025-03-25,Chicken Biryani,Main Course,333,123,115,8,220,0.0,34.6,0.0,0,0,0,95,25300.0,1,3,80.0,124.14285714285714
2025-03-26,Chicken Biryani,Main Course,252,100,91,9,220,0.0,31.4,0.0,0,0,1,95,20020.0,2,3,115.0,124.0
2025-03-27,Chicken Biryani,Main Course,323,108,95,13,220,0.0,39.0,0.6,0,0,0,95,20900.0,3,3,91.0,125.57142857142857
2025-03-28,Chicken Biryani,Main Course,368,164,137,27,220,5.0,32.5,0.0,0,0,0,95,28633.0,4,3,95.0,123.0
2025-03-29,Chicken Biryani,Main Course,495,273,239,34,220,10.0,38.5,0.0,1,0,0,95,47322.0,5,3,137.0,126.28571428571429
2025-03-30,Chicken Biryani,Main Course,461,235,202,33,220,5.0,24.0,0.0,1,0,0,95,42218.0,6,3,239.0,134.28571428571428
2025-03-31,Chicken Biryani,Main Course,311,131,124,7,220,5.0,28.0,0.0,0,0,0,95,25916.0,0,3,202.0,137.0
2025-04-01,Chicken Biryani,Main Course,258,106,95,11,220,5.0,29.1,0.0,0,0,1,95,19855.0,1,4,124.0,143.28571428571428
2025-04-02,Chicken Biryani,Main Course,260,110,97,13,220,0.0,39.3,0.0,0,0,1,95,21340.0,2,4,95.0,140.42857142857142
2025-04-03,Chicken Biryani,Main Course,336,127,114,13,220,0.0,32.6,0.0,0,0,0,95,25080.0,3,4,97.0,141.28571428571428
2025-04-04,Chicken Biryani,Main Course,342,146,138,8,220,5.0,29.0,0.5,0,0,0,95,28842.0,4,4,114.0,144.0
2025-04-05,Chicken Biryani,Main Course,418,189,172,17,220,0.0,34.0,1.2,1,0,0,95,37840.0,5,4,138.0,144.14285714285714
2025-04-06,Chicken Biryani,Main Course,418,247,210,37,220,15.0,30.8,0.9,1,0,0,95,39270.0,6,4,172.0,134.57142857142858
2025-04-07,Chicken Biryani,Main Course,250,91,82,9,220,0.0,35.8,0.0,0,0,1,95,18040.0,0,4,210.0,135.71428571428572
2025-04-08,Chicken Biryani,Main Course,372,139,122,17,220,0.0,32.5,1.1,0,0,0,95,26840.0,1,4,82.0,129.71428571428572
2025-04-09,Chicken Biryani,Main Course,280,123,103,20,220,5.0,25.2,0.0,0,0,1,95,21527.0,2,4,122.0,133.57142857142858
2025-04-10,Chicken Biryani,Main Course,278,121,107,14,220,10.0,42.9,0.0,0,0,1,95,21186.0,3,4,103.0,134.42857142857142
2025-04-11,Chicken Biryani,Main Course,246,110,100,10,220,5.0,28.0,0.0,0,0,1,95,20900.0,4,4,107.0,133.42857142857142
2025-04-12,Chicken Biryani,Main Course,484,226,207,19,220,0.0,28.7,0.0,1,0,0,95,45540.0,5,4,100.0,128.0
2025-04-13,Chicken Biryani,Main Course,446,207,179,28,220,0.0,35.5,0.0,1,0,0,95,39380.0,6,4,207.0,133.0
2025-04-14,Chicken Biryani,Main Course,327,117,112,5,220,0.0,35.4,1.8,0,0,0,95,24640.0,0,4,179.0,128.57142857142858
2025-04-15,Chicken Biryani,Main Course,338,149,127,22,220,10.0,30.4,0.0,0,0,0,95,25146.0,1,4,112.0,132.85714285714286
2025-04-16,Chicken Biryani,Main Course,402,158,139,19,220,5.0,26.6,0.0,0,0,0,95,29051.0,2,4,127.0,133.57142857142858
2025-04-17,Chicken Biryani,Main Course,214,70,62,8,220,0.0,27.8,0.2,0,0,1,95,13640.0,3,4,139.0,138.71428571428572
2025-04-18,Chicken Biryani,Main Course,296,116,101,15,220,0.0,33.4,0.0,0,0,1,95,22220.0,4,4,62.0,132.28571428571428
2025-04-19,Chicken Biryani,Main Course,434,189,171,18,220,0.0,30.7,0.0,1,0,0,95,37620.0,5,4,101.0,132.42857142857142
2025-04-20,Chicken Biryani,Main Course,451,188,179,9,220,0.0,33.8,3.5,1,0,0,95,39380.0,6,4,171.0,127.28571428571429
2025-04-21,Chicken Biryani,Main Course,322,134,114,20,220,0.0,25.3,0.0,0,0,0,95,25080.0,0,4,179.0,127.28571428571429
2025-04-22,Chicken Biryani,Main Course,382,150,142,8,220,0.0,23.9,0.0,0,0,0,95,31240.0,1,4,114.0,127.57142857142857
2025-04-23,Chicken Biryani,Main Course,347,123,104,19,220,0.0,27.8,0.7,0,0,0,95,22880.0,2,4,142.0,129.71428571428572
2025-04-24,Chicken Biryani,Main Course,309,137,123,14,220,10.0,22.6,0.0,0,0,1,95,24354.0,3,4,104.0,124.71428571428571
2025-04-25,Chicken Biryani,Main Course,372,140,133,7,220,5.0,31.5,0.0,0,0,0,95,27797.0,4,4,123.0,133.42857142857142
2025-04-26,Chicken Biryani,Main Course,449,244,215,29,220,10.0,34.4,0.9,1,0,0,95,42570.0,5,4,133.0,138.0
2025-04-27,Chicken Biryani,Main Course,452,264,223,41,220,10.0,32.8,0.2,1,0,0,95,44154.0,6,4,215.0,144.28571428571428
2025-04-28,Chicken Biryani,Main Course,327,137,131,6,220,15.0,35.5,0.0,0,0,0,95,24497.0,0,4,223.0,150.57142857142858
2025-04-29,Chicken Biryani,Main Course,355,114,108,6,220,0.0,26.2,0.0,0,0,0,95,23760.0,1,4,131.0,153.0
2025-04-30,Chicken Biryani,Main Course,290,108,97,11,220,0.0,30.4,0.5,0,0,1,95,21340.0,2,4,108.0,148.14285714285714
2025-05-01,Chicken Biryani,Main Course,369,165,147,18,220,10.0,24.5,0.0,0,0,0,95,29106.0,3,5,97.0,147.14285714285714
2025-05-02,Chicken Biryani,Main Course,328,133,121,12,220,0.0,30.1,2.7,0,0,0,95,26620.0,4,5,147.0,150.57142857142858
2025-05-03,Chicken Biryani,Main Course,473,244,210,34,220,5.0,37.1,0.3,1,0,0,95,43890.0,5,5,121.0,148.85714285714286
2025-05-04,Chicken Biryani,Main Course,437,213,192,21,220,5.0,30.1,0.0,1,0,0,95,40128.0,6,5,210.0,148.14285714285714
2025-05-05,Chicken Biryani,Main Course,315,127,117,10,220,5.0,35.4,0.0,0,0,0,95,24453.0,0,5,192.0,143.71428571428572
2025-05-06,Chicken Biryani,Main Course,349,162,144,18,220,15.0,16.8,0.0,0,0,0,95,26928.0,1,5,117.0,141.71428571428572
2025-05-07,Chicken Biryani,Main Course,356,154,129,25,220,0.0,19.2,0.0,0,0,0,95,28380.0,2,5,144.0,146.85714285714286
2025-05-08,Chicken Biryani,Main Course,350,157,148,9,220,15.0,26.0,0.0,0,0,0,95,27676.0,3,5,129.0,151.42857142857142
2025-05-09,Chicken Biryani,Main Course,344,127,120,7,220,0.0,33.2,0.0,0,0,0,95,26400.0,4,5,148.0,151.57142857142858
2025-05-10,Chicken Biryani,Main Course,394,187,174,13,220,0.0,31.1,0.0,1,0,0,95,38280.0,5,5,120.0,151.42857142857142
2025-05-11,Chicken Biryani,Main Course,451,267,230,37,220,15.0,30.8,2.4,1,0,0,95,43010.0,6,5,174.0,146.28571428571428
2025-05-12,Chicken Biryani,Main Course,365,125,114,11,220,0.0,30.0,0.0,0,0,0,95,25080.0,0,5,230.0,151.71428571428572
2025-05-13,Chicken Biryani,Main Course,433,168,144,24,220,5.0,26.8,0.0,0,1,0,95,30096.0,1,5,114.0,151.28571428571428
2025-05-14,Chicken Biryani,Main Course,363,168,154,14,220,5.0,33.4,0.0,0,0,0,95,32186.0,2,5,144.0,151.28571428571428
2025-05-15,Chicken Biryani,Main Course,354,173,149,24,220,10.0,17.0,0.0,0,0,0,95,29502.0,3,5,154.0,154.85714285714286
2025-05-16,Chicken Biryani,Main Course,324,121,105,16,220,0.0,30.2,0.0,0,0,0,95,23100.0,4,5,149.0,155.0
2025-05-17,Chicken Biryani,Main Course,485,248,215,33,220,5.0,27.0,0.0,1,0,0,95,44935.0,5,5,105.0,152.85714285714286
2025-05-18,Chicken Biryani,Main Course,477,242,204,38,220,0.0,45.5,0.0,1,0,0,95,44880.0,6,5,215.0,158.71428571428572
2025-05-19,Chicken Biryani,Main Course,340,143,122,21,220,5.0,24.5,0.0,0,0,0,95,25498.0,0,5,204.0,155.0
2025-05-20,Chicken Biryani,Main Course,296,129,110,19,220,0.0,26.7,2.4,0,0,0,95,24200.0,1,5,122.0,156.14285714285714
2025-05-21,Chicken Biryani,Main Course,334,136,124,12,220,0.0,30.3,0.0,0,0,0,95,27280.0,2,5,110.0,151.28571428571428
2025-05-22,Chicken Biryani,Main Course,341,122,115,7,220,5.0,29.2,0.0,0,0,0,95,24035.0,3,5,124.0,147.0
2025-05-23,Chicken Biryani,Main Course,333,144,121,23,220,0.0,25.9,0.0,0,0,0,95,26620.0,4,5,115.0,142.14285714285714
2025-05-24,Chicken Biryani,Main Course,475,256,241,15,220,15.0,35.1,0.0,1,0,0,95,45067.0,5,5,121.0,144.42857142857142
2025-05-25,Chicken Biryani,Main Course,460,260,224,36,220,15.0,28.1,0.0,1,0,0,95,41888.0,6,5,241.0,148.14285714285714
2025-05-26,Chicken Biryani,Main Course,330,116,107,9,220,0.0,25.1,0.0,0,0,0,95,23540.0,0,5,224.0,151.0
2025-05-27,Chicken Biryani,Main Course,367,147,124,23,220,0.0,37.1,0.0,0,0,0,95,27280.0,1,5,107.0,148.85714285714286
2025-05-28,Chicken Biryani,Main Course,336,128,122,6,220,0.0,24.9,0.0,0,0,0,95,26840.0,2,5,124.0,150.85714285714286
2025-05-29,Chicken Biryani,Main Course,324,133,122,11,220,10.0,32.7,0.0,0,0,0,95,24156.0,3,5,122.0,150.57142857142858
2025-05-30,Chicken Biryani,Main Course,344,124,111,13,220,0.0,23.2,0.0,0,0,0,95,24420.0,4,5,122.0,151.57142857142858
2025-05-31,Chicken Biryani,Main Course,493,209,197,12,220,0.0,30.6,0.1,1,0,0,95,43340.0,5,5,111.0,150.14285714285714
2025-06-01,Chicken Biryani,Main Course,450,205,174,31,220,0.0,20.6,0.0,1,0,0,95,38280.0,6,6,197.0,143.85714285714286
2025-06-02,Chicken Biryani,Main Course,348,160,140,20,220,0.0,28.5,0.0,0,0,0,95,30800.0,0,6,174.0,136.71428571428572
2025-06-03,Chicken Biryani,Main Course,347,140,127,13,220,0.0,26.9,0.0,0,0,0,95,27940.0,1,6,140.0,141.42857142857142
2025-06-04,Chicken Biryani,Main Course,365,137,123,14,220,0.0,20.6,0.6,0,0,0,95,27060.0,2,6,127.0,141.85714285714286
2025-06-05,Chicken Biryani,Main Course,360,145,125,20,220,5.0,32.1,0.0,0,0,0,95,26125.0,3,6,123.0,142.0
2025-06-06,Chicken Biryani,Main Course,373,147,124,23,220,0.0,25.1,0.6,0,0,0,95,27280.0,4,6,125.0,142.42857142857142
2025-06-07,Chicken Biryani,Main Course,429,199,184,15,220,5.0,34.5,0.0,1,0,0,95,38456.0,5,6,124.0,144.28571428571428
2025-06-08,Chicken Biryani,Main Course,410,208,174,34,220,0.0,31.7,1.6,1,0,0,95,38280.0,6,6,184.0,142.42857142857142
2025-06-09,Chicken Biryani,Main Course,380,137,125,12,220,0.0,31.6,0.8,0,0,0,95,27500.0,0,6,174.0,142.42857142857142
2025-06-10,Chicken Biryani,Main Course,389,162,137,25,220,0.0,28.2,0.0,0,0,0,95,30140.0,1,6,125.0,140.28571428571428
2025-06-11,Chicken Biryani,Main Course,377,160,147,13,220,5.0,37.4,0.0,0,0,0,95,30723.0,2,6,137.0,141.71428571428572
2025-06-12,Chicken Biryani,Main Course,361,110,103,7,220,0.0,32.1,0.0,0,0,0,95,22660.0,3,6,147.0,145.14285714285714
2025-06-13,Chicken Biryani,Main Course,360,150,139,11,220,10.0,26.2,0.0,0,0,0,95,27522.0,4,6,103.0,142.0
2025-06-14,Chicken Biryani,Main Course,431,173,163,10,220,0.0,29.0,0.4,1,0,0,95,35860.0,5,6,139.0,144.14285714285714
2025-06-15,Chicken Biryani,Main Course,440,215,183,32,220,0.0,27.1,0.4,1,0,0,95,40260.0,6,6,163.0,141.14285714285714
2025-06-16,Chicken Biryani,Main Course,329,143,128,15,220,10.0,29.6,0.0,0,0,0,95,25344.0,0,6,183.0,142.42857142857142
2025-06-17,Chicken Biryani,Main Course,266,102,93,9,220,10.0,34.2,0.0,0,0,0,95,18414.0,1,6,128.0,142.85714285714286
2025-06-18,Chicken Biryani,Main Course,320,109,102,7,220,0.0,37.4,1.3,0,0,0,95,22440.0,2,6,93.0,136.57142857142858
2025-06-19,Chicken Biryani,Main Course,332,135,125,10,220,10.0,25.8,1.7,0,0,0,95,24750.0,3,6,102.0,130.14285714285714
2025-06-20,Chicken Biryani,Main Course,345,126,113,13,220,0.0,31.5,0.0,0,0,0,95,24860.0,4,6,125.0,133.28571428571428
2025-06-21,Chicken Biryani,Main Course,433,201,178,23,220,0.0,19.3,0.0,1,0,0,95,39160.0,5,6,113.0,129.57142857142858
2025-06-22,Chicken Biryani,Main Course,481,221,192,29,220,0.0,27.7,0.0,1,0,0,95,42240.0,6,6,178.0,131.71428571428572
2025-06-23,Chicken Biryani,Main Course,320,160,135,25,220,10.0,31.3,0.0,0,0,0,95,26730.0,0,6,192.0,133.0
2025-06-24,Chicken Biryani,Main Course,340,147,139,8,220,10.0,21.8,0.0,0,0,0,95,27522.0,1,6,135.0,134.0
2025-06-25,Chicken Biryani,Main Course,365,128,116,12,220,0.0,37.6,0.0,0,0,0,95,25520.0,2,6,139.0,140.57142857142858
2025-06-26,Chicken Biryani,Main Course,348,138,126,12,220,0.0,20.4,0.0,0,0,0,95,27720.0,3,6,116.0,142.57142857142858
2025-06-27,Chicken Biryani,Main Course,357,145,127,18,220,0.0,30.5,5.9,0,0,0,95,27940.0,4,6,126.0,142.71428571428572
2025-06-28,Chicken Biryani,Main Course,444,195,167,28,220,0.0,22.4,0.0,1,0,0,95,36740.0,5,6,127.0,144.71428571428572
2025-06-29,Chicken Biryani,Main Course,439,207,189,18,220,0.0,29.7,0.0,1,0,0,95,41580.0,6,6,167.0,143.14285714285714
2025-06-30,Chicken Biryani,Main Course,327,133,118,15,220,5.0,31.3,0.0,0,0,0,95,24662.0,0,6,189.0,142.71428571428572
2025-07-01,Chicken Biryani,Main Course,320,139,123,16,220,10.0,36.4,0.3,0,0,0,95,24354.0,1,7,118.0,140.28571428571428
2025-07-02,Chicken Biryani,Main Course,395,177,157,20,220,10.0,26.3,0.0,0,0,0,95,31086.0,2,7,123.0,138.0
2025-07-03,Chicken Biryani,Main Course,317,132,120,12,220,5.0,33.8,5.7,0,0,0,95,25080.0,3,7,157.0,143.85714285714286
2025-07-04,Chicken Biryani,Main Course,324,120,108,12,220,0.0,26.4,0.0,0,0,0,95,23760.0,4,7,120.0,143.0
2025-07-05,Chicken Biryani,Main Course,402,199,175,24,220,0.0,27.5,0.0,1,0,0,95,38500.0,5,7,108.0,140.28571428571428
2025-07-06,Chicken Biryani,Main Course,451,225,208,17,220,10.0,26.8,0.0,1,0,0,95,41184.0,6,7,175.0,141.42857142857142
2025-07-07,Chicken Biryani,Main Course,319,128,110,18,220,0.0,26.7,0.0,0,0,0,95,24200.0,0,7,208.0,144.14285714285714
2025-07-08,Chicken Biryani,Main Course,365,151,132,19,220,0.0,28.4,0.8,0,0,0,95,29040.0,1,7,110.0,143.0
2025-07-09,Chicken Biryani,Main Course,317,134,122,12,220,0.0,39.1,0.0,0,0,0,95,26840.0,2,7,132.0,144.28571428571428
2025-07-10,Chicken Biryani,Main Course,361,168,146,22,220,5.0,34.5,0.0,0,0,0,95,30514.0,3,7,122.0,139.28571428571428
2025-07-11,Chicken Biryani,Main Course,392,161,147,14,220,15.0,25.1,0.0,0,1,0,95,27489.0,4,7,146.0,143.0
2025-07-12,Chicken Biryani,Main Course,476,217,199,18,220,0.0,21.7,0.0,1,0,0,95,43780.0,5,7,147.0,148.57142857142858
